,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group,neighbourhood,room_type,reviews_per_month,is_zero,price
232,-0.44901776585810765,0.43817574812582094,-0.585272122135574,1.046777318644538,3,25,1,1,0,0.21091050081736257
233,-0.44901776585810765,0.16968955254088564,-0.585272122135574,1.0330765822250807,3,25,1,1,0,0.11193150654473492
234,-0.48985578502160404,-0.26660051528463424,-0.615766718116943,-1.4193552368577718,0,2,1,1,1,-0.7561598477691813
235,0.04103846410384939,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,6,1,0,1,-0.6748945173285302
236,-0.48985578502160404,-0.40084361307710187,-0.6005194201262585,1.0536276868542667,0,15,1,1,0,0.08054862339996653
237,-0.44901776585810765,2.1497752449797836,-0.585272122135574,-0.9124279893378525,0,19,0,1,0,0.9496121828366122
238,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,1.0810291596931811,4,1,1,0,0,0.39502876037747536
239,-0.48985578502160404,2.1497752449797836,-0.585272122135574,-1.035734617112968,3,20,1,1,0,-0.6748945173285302
240,-0.48985578502160404,0.5052972970220547,-0.5242829301728362,0.17678055600900092,0,19,1,1,0,-0.9122969881431131
241,3.1447279205295775,-0.26660051528463424,-0.615766718116943,1.067328423273724,3,7,2,1,0,-1.891092598589567
242,-0.48985578502160404,-0.40084361307710187,-0.615766718116943,1.0604780550639952,1,0,1,1,0,-0.5092958666472548
243,-0.24482767004062556,1.1429520115362761,2.4641874760013165,0.3754412340911314,0,10,0,1,0,1.4979490137475042
244,-0.48985578502160404,2.015532147187316,0.39055494926823087,-0.45345331928603383,0,6,0,1,0,-0.4260148981154778
245,-0.12231361255013629,0.9080265903994577,0.39055494926823087,-1.3919537640188573,0,6,0,1,0,-0.31813539438102595
